brand_n,avg_nutriscore
Bulkpowders.Com,14.0
Diamond Foods,14.0
Walmart,14.0
Roundy'S Supermarkets,14.0
"Haribo,  Haribo Gmbh & Co. Kg",14.0
Prrivate Selection,14.0
"Jack Daniel'S,  Indianola Pecan House Inc.",14.0
"Jolly Rancher,Hershey",14.0
Los Pericos,14.0
"Trader Joe'S,  Supreme Foods  Inc.",14.0
"M&S Food, Marks & Spencer",14.0
Qfc,14.0
Valkro Srl,14.0
Fryin' Magic,14.0
Bakin' Miracle,14.0
Rainbow Candies,14.0
Becel,13.5
Heinz,13.4
Ksf Acquisition Corporation,13.363636
Ferrero U.S.A.  Incorporated,13.25
P$$T...,13.206897
Emer'Ald,13.0
Rabbit Creek,13.0
"Clover,  Kroger",13.0
Vintage Bee  Inc.,13.0
"Vintage,  Vintage Bee",13.0
Fischer'S,13.0
Kasugai,13.0
Hapi Snacks,13.0
Cook'S Palm,13.0
"M&S Food, Marks And Spencer, Marks & Spencer",13.0
Innocent,13.0
Rocky Mountain Popcorn,13.0
"Roundy'S,  Albanese Confectionery Group",13.0
"Vintage,  Vintage Bee  Inc.",13.0
"Vintage,  All American Products Co. Inc.",13.0
Private Selections,13.0
"Marks & Spencer,M&S",12.8
Bake A Teria  Inc.,12.75
Fresh & Easy,12.666667
Marks And Spencer,12.666667
Augason Farms,12.666667
George'S Sauces,12.5
Slim Fast,12.5
Healthy Food Brands Llc,12.4
Front Range Snacks  Inc.,12.272727
"Crous Languedoc Roussillon, Crous Resto', Briau",12.0
Bisto,12.0
"Private Selection,  Private Selections",12.0
"Mt. Olive,  Mt. Olive Pickle Company  Inc.",12.0
Fruit Ninja,12.0
Idaho Spuds,12.0
Kimura,12.0
Best American Foods,12.0
Phong Kee Roasted Peanut Co.,12.0
Goode'S Bakery & Co.  Inc.,12.0
"Roundy'S,  Albamene Confectionary Group",12.0
"Marks & Spencer, Yesto",12.0
Hofer Almare Sea Food,12.0
Angry Birds,11.888889
"Shurfine,  Topco Associates  Inc.",11.8
Alice Délice,11.666667
Canola Harvest,11.5
Basic American Foods  Inc.,11.5
"Big K,  The Kroger Co.",11.5
Fredmeyer,11.5
Van De Kamp'S,11.5
"Jfc,  Ajishima Foods Co.  Ltd.",11.5
"Private Selection,  The Kroger Co.",11.391304
Hapi,11.363636
Slimfast,11.076923
Cinque Formaggi,11.0
Chaleur Creole,11.0
"Black Forest,Kroger",11.0
"Jfc,  Jfc International Inc.",11.0
Wisconsin,11.0
Plasmon,11.0
Candy Crush,11.0
Lactaid,11.0
Thaï Kitchen,11.0
Clearspring,11.0
Da Gastone S. R. L.,11.0
Maruthon,11.0
No Brand,11.0
Private Collection,11.0
Délices Du Lac Saint Jean,11.0
"Emerald,  Diamond Foods  Inc.",10.928572
"Sainsbury'S,Taste The Difference",10.5
De Nigris,10.25
Taiwan Sunlife Corp.,10.0
"Kroger Co., Kroger, The Kroger Co.",10.0
Ryan Orchards,10.0
Todds,10.0
Diaz Foods,10.0
Kuzushi,10.0
"Mount Olive Pickle Company Inc, Mt Olive",10.0
Usm,10.0
Shur Fine,10.0
Simply Roundys,10.0
Pappy'S Fine Foods,10.0
Marmite,10.0
Olde Thompson,10.0
Top 'Ems,10.0
Legacy Manufacturing Co.,10.0
Roundy'S Select,9.807693
Private Selection,9.74026
Fresh Food Market,9.714286
Marks & Spencer,9.662337
Mt. Olive Pickle Company  Inc.,9.533334
Jfc International Inc.,9.44
Country Club,9.222222
Fred Meyer,9.090909
Mt. Olive,9.088235
Foodtwon,9.0
Reed'S  Inc.,9.0
"Simply,  Simply Natural Foods  Llc.",9.0
"Marks & Spencer Foods, Marks & Spencer",9.0
Party Pail,9.0
Quaker,9.0
Majestic,9.0
Delice De France Inc.,9.0
Welch'S,9.0
"Foodtown,  Foodtown  Inc.",8.85
Psst...,8.842105
"The Kroger Co., Kroger",8.833333
"Kroger,  The Kroger Co.",8.785714
Ralphs,8.666667
Ala Orden,8.5
A La Orden,8.5
Jolly Rancher,8.5
Saludviva,8.5
Welpac,8.5
The Kroger Co.,8.44856
Kroeger,8.285714
Emerald,8.173913
"Welch'S,  Healthy Food Brands Llc",8.142858
"Crous Languedoc Roussillon,Crous Resto', Crous",8.0
Bulk,8.0
"Wah Seng Vit4Ever,",8.0
Clover Valley,8.0
"Diamond,  Diamond Of California",8.0
Eve Sales Company,8.0
Jeppi Nut Company,8.0
"Simply,  Simply Roundys",8.0
Simply Roundy'S Organic,8.0
Penguin Software Inc,8.0
"Simple Truth, The Kroger Co.",7.8421054
Kroger,7.7829614
Bulk Powders,7.75
Distinctive Foods  Llc,7.6666665
Roundy'S,7.5376983
Bobbi'S Best  Inc.,7.5
Myojo,7.3333335
Bofrost,7.3
Jfc,7.285714
"Dynasty,  Jfc International Inc.",7.263158
Simple Truth,7.2478633
Acetificio Marcello Denigris,7.2222223
Trader Joe'S,7.1463413
Private Select,7.0
Guiltless Gourmet,7.0
Blue Mountain,7.0
"Heimatgut, Aldi",7.0
"Mt. Olive,  Mount Olive Pickle Company Inc.",7.0
"The Kroger Co., Simple Truth Organic",7.0
"Simply,  Simply Truth",7.0
"Sobe,  Healthy Food Brands Llc",7.0
United Supermarkets  Llc,7.0
Reed'S,6.8
Wel Pac,6.6363635
M&S,6.5789475
Hemis Fares,6.571429
Foodtown  Inc.,6.5
Quality Foods,6.3333335
Wilkins Rogers Mills,6.3333335
Sainsbury'S,6.230769
Vita 2 You,6.0
"Simple Truth, Simple Truth Organic, The Kroger Co.",6.0
Big K,6.0
Torn & Glasser,6.0
Fresh Aisle,6.0
Les 5 Fermes,6.0
Viva La Salud,6.0
Wholesome@Home,6.0
Nutri&Co,6.0
Diamond Foods  Inc.,5.928571
Foodtown,5.8
Roundys,5.6842103
Yama Moto Yama,5.6666665
"Kroger,  Kroger Co",5.5
Northwest Classic,5.5
Nuovo,5.5
"Roundy'S,  Roundy'S Supermarkets  Inc",5.5
Imperial Dragon,5.5
Dynasty,5.4864864
Kirkland Signature,5.4
King Soopers,5.2222223
"Simple Truth Organic, The Kroger Co.",5.1621623
Clover Organic Farms,5.0
"Kroger,  The Kroger Co., Rose'S, Sprouts Farmers Market",5.0
Athena Imports,5.0
Sainsburys,5.0
"Trader Joe'S,Lookingglass Winery",5.0
Salaisons De Pradelles,5.0
"Simple Truch Organic,Simple Truth Organic",5.0
Old Mansion Foods,5.0
Venice Maid Foods,5.0
"Le Gaulois,Le Gaulois Professionnel",5.0
"Dillons, Dillon",4.6666665
Simply Roundy'S,4.6041665
Sharon'S,4.6
"The Kroger Co., Simple Truth",4.5
Simple Truth Organic,4.3081083
Fresh Foods Market,4.212766
D'Sabor,4.0
Del Monte Quality,4.0
Le Marsigny,4.0
"Simple Truth Organic,  Simple Truth",4.0
Carbmaster,4.0
"Tic Tac,  Ferrero U.S.A.  Incorporated",3.75
Basic American Foods,3.6666667
Hime,3.5
Tetley,3.4
Mountain Dairy,3.357143
Hemisfares,3.3333333
Crous Languedoc Roussillon,3.235294
Shurfine,3.0
Fleury Michon,3.0
