product,n_ingredient,n_additives
http://www.graphle.com/foodOntology#the-fathers-table-cake-roll-carrot-buttercream-10374727021,95,18
http://www.graphle.com/foodOntology#winter-variety-cheesecake-pumpkin-swirl-tuxedo-pecan-pie-and-red-velvet-swirl-10374401297,95,9
http://www.graphle.com/foodOntology#yellow-cake-lemon-filling-with-white-buttercreme-icing-11110901651,95,29
http://www.graphle.com/foodOntology#all-american-half-sub-11110110961,94,13
http://www.graphle.com/foodOntology#bakery-fresh-goodness-christmas-cupcakes-11110196132,94,19
http://www.graphle.com/foodOntology#bakery-fresh-goodness-coffee-cake-pumpkin-spice-11110188205,94,23
http://www.graphle.com/foodOntology#bakery-fresh-goodness-smores-brownies-11110198204,94,23
http://www.graphle.com/foodOntology#buttercream-frosting-cupcakes-11150253789,94,24
http://www.graphle.com/foodOntology#christmas-cupcakes-11110196125,94,19
http://www.graphle.com/foodOntology#fruit-swirl-variety-cheesecake-10374420670,94,20
http://www.graphle.com/foodOntology#kroger-cinnamon-danish-cinnamon-11110040794,94,25
http://www.graphle.com/foodOntology#maine-blueberry-belgian-waffle-cone-ice-cream-11110611598,94,16
http://www.graphle.com/foodOntology#myojo-japanese-style-noodles-11152012469,94,12
http://www.graphle.com/foodOntology#buttercream-frosting-cupcakes-pink-awareness-11150253529,93,23
http://www.graphle.com/foodOntology#chicken-pot-pie-11110861696,93,18
http://www.graphle.com/foodOntology#club-turkey-bacon-12317,93,17
http://www.graphle.com/foodOntology#cupcakes-10995307541,93,27
http://www.graphle.com/foodOntology#from-the-heart-cupcakes-10995307527,93,27
http://www.graphle.com/foodOntology#fruit-n-creme-sampler-cheesecake-10374324084,93,27
http://www.graphle.com/foodOntology#fully-cooked-boneless-wyngz-11110882103,93,12
http://www.graphle.com/foodOntology#kroger-cheese-pizza-cheese-11110864154,93,12
http://www.graphle.com/foodOntology#mini-gold-chocolate-cupcakes-party-platter-10995305585,93,28
http://www.graphle.com/foodOntology#red-velvet-mini-cupcakes-with-cream-cheese-icing-red-velvet-10995005812,93,30
